iter	Passed	Remaining
864	2171	338
865	2173	336
866	2177	334
867	2179	331
868	2182	328
869	2185	326
870	2188	324
871	2190	321
872	2192	318
873	2194	316
874	2197	313
875	2201	311
876	2204	309
877	2206	306
878	2209	304
879	2213	301
880	2216	299
881	2218	296
882	2220	294
883	2222	291
884	2224	289
885	2226	286
886	2228	283
887	2230	281
888	2232	278
889	2234	276
890	2236	273
891	2237	270
892	2239	268
893	2242	265
894	2244	263
895	2247	260
896	2249	258
897	2251	255
898	2253	253
899	2255	250
900	2257	248
901	2260	245
902	2262	243
903	2264	240
904	2266	237
905	2269	235
906	2272	233
907	2275	230
908	2277	228
909	2280	225
910	2282	222
911	2285	220
912	2287	217
913	2289	215
914	2291	212
915	2293	210
916	2296	207
917	2298	205
918	2301	202
919	2304	200
920	2306	197
921	2308	195
922	2311	192
923	2313	190
924	2315	187
925	2318	185
926	2322	182
927	2324	180
928	2327	177
929	2329	175
930	2332	172
931	2352	171
932	2354	169
933	2356	166
934	2358	163
935	2360	161
936	2362	158
937	2365	156
938	2368	153
939	2371	151
940	2373	148
941	2375	146
942	2377	143
943	2379	141
944	2382	138
945	2383	136
946	2386	133
947	2388	130
948	2390	128
949	2392	125
950	2394	123
951	2396	120
952	2398	118
953	2400	115
954	2402	113
955	2404	110
956	2406	108
957	2409	105
958	2411	103
959	2413	100
960	2415	98
961	2417	95
962	2419	92
963	2427	90
964	2429	88
965	2431	85
966	2433	83
967	2435	80
968	2437	77
969	2440	75
970	2442	72
971	2445	70
972	2448	67
973	2451	65
974	2456	62
975	2458	60
976	2460	57
977	2463	55
978	2465	52
979	2468	50
980	2470	47
981	2472	45
982	2475	42
983	2477	40
984	2480	37
985	2482	35
986	2492	32
987	2494	30
988	2497	27
989	2499	25
990	2501	22
991	2504	20
992	2506	17
993	2508	15
994	2511	12
995	2513	10
996	2516	7
997	2519	5
998	2522	2
999	2524	0
