iter	TotalF1	MultiClass
237	0.9986841963	0.1604932257
238	0.9986841963	0.1598515452
239	0.9986841963	0.1591234921
240	0.9986841963	0.158429551
241	0.9986841963	0.1577364326
242	0.9986841963	0.1569652103
243	0.9986841963	0.1563084198
244	0.9986841963	0.1556189802
245	0.9986841963	0.1550824966
246	0.9986841963	0.1544271092
247	0.9986841963	0.153777706
248	0.9986841963	0.1531798117
249	0.9986841963	0.1525494195
250	0.9986841963	0.1519208263
251	0.9986841963	0.1512464979
252	0.9986841963	0.1505776071
253	0.9986841963	0.1498643725
254	0.9974646982	0.149101873
255	0.9974646982	0.1484710333
256	0.9974646982	0.1477148836
257	0.9974646982	0.1471104535
258	0.9974646982	0.1465568999
259	0.9974646982	0.1459928493
260	0.9974646982	0.1454742885
261	0.9974646982	0.1449077623
262	0.9974646982	0.1443361921
263	0.9974646982	0.1437316931
264	0.9974646982	0.1431661041
265	0.9974646982	0.1425826125
266	0.9974646982	0.1419067553
267	0.9974646982	0.1413489129
268	0.9974646982	0.1408208418
269	0.9974646982	0.1402153919
270	0.9974646982	0.1396822855
271	0.9974646982	0.1391208476
272	0.9974646982	0.1386014816
273	0.9974646982	0.1381691287
274	0.9974646982	0.1376215986
275	0.9974646982	0.1371523894
276	0.9974646982	0.1366438501
277	0.9974646982	0.136168079
278	0.9974646982	0.1356856205
279	0.9974646982	0.1351419334
280	0.9974646982	0.1346469889
281	0.9974646982	0.1341651499
282	0.9974646982	0.1337067505
283	0.9974646982	0.133254111
284	0.9974646982	0.1327644718
285	0.9974646982	0.1323226119
286	0.9974646982	0.1319202962
287	0.9974646982	0.1313807366
288	0.9974646982	0.1308891784
289	0.9974646982	0.1304384329
290	0.9974646982	0.1299774534
291	0.9974646982	0.129481871
292	0.9974646982	0.1290560983
293	0.9974646982	0.1285950262
294	0.9974646982	0.1280900178
295	0.9974646982	0.127569118
296	0.9974646982	0.1270294891
297	0.9974646982	0.1265528855
298	0.9974646982	0.126116797
299	0.9974646982	0.1255849911
300	0.9974646982	0.1251379555
301	0.9974646982	0.1247695137
302	0.9974646982	0.1243248165
303	0.9974646982	0.1239102269
304	0.9974646982	0.1235046441
305	0.9974646982	0.1231200403
306	0.9974646982	0.1227844671
307	0.9974646982	0.1224094093
308	0.9974646982	0.1219091378
309	0.9974646982	0.1214655104
310	0.9974646982	0.1210750658
311	0.9974646982	0.1206627501
312	0.9974646982	0.1202342018
313	0.9974646982	0.1198717959
314	0.9986841963	0.1195295134
315	0.9986841963	0.119118222
316	0.9986841963	0.1187356073
317	0.9986841963	0.1183489461
318	0.9986841963	0.1179113227
319	0.9986841963	0.1175573239
320	0.9986841963	0.1171346359
321	0.9986841963	0.1166775359
322	0.9986841963	0.1162093399
323	0.9986841963	0.115840827
324	0.9986841963	0.1155052154
325	0.9986841963	0.1151535328
326	0.9986841963	0.1148245763
327	0.9986841963	0.1144510138
328	0.9986841963	0.1141496875
329	0.9986841963	0.1137767994
330	0.9986841963	0.113289047
331	0.9986841963	0.1129277854
332	0.9986841963	0.1124760724
333	0.9986841963	0.1121453836
334	0.9986841963	0.1117771851
335	0.9986841963	0.1114976963
336	0.9986841963	0.1112435859
337	0.9986841963	0.1108611394
338	0.9986841963	0.1104380021
339	0.9986841963	0.1101247143
340	0.9986841963	0.1097580172
341	0.9986841963	0.1094040952
342	0.9986841963	0.1090605096
343	0.9986841963	0.1087808276
344	0.9986841963	0.1084956233
345	0.9986841963	0.1082287993
346	0.9986841963	0.1078835552
347	0.9986841963	0.1075845593
348	0.9986841963	0.1072938059
349	0.9986841963	0.1069957324
350	1	0.1065941335
351	1	0.1062845115
352	1	0.1059812978
353	1	0.1056644718
354	1	0.105361208
355	1	0.1050595259
356	1	0.1047042091
357	1	0.1043301556
358	1	0.1040217772
359	1	0.1037215186
360	1	0.1034283647
361	1	0.1031426831
362	1	0.1028317276
363	1	0.102582451
364	1	0.1022914499
365	1	0.1020111027
366	1	0.1017787775
367	1	0.1014739046
368	1	0.1011311666
369	1	0.1008577971
370	1	0.100606581
371	1	0.1003317959
372	1	0.1000153562
373	1	0.09972092603
374	1	0.09946540369
375	1	0.0991567862
376	1	0.09889992829
377	1	0.09864147817
378	1	0.09832261459
379	1	0.09803615992
380	1	0.09777555254
381	1	0.09749351466
382	1	0.09718655375
383	1	0.09689599914
384	1	0.09663362622
385	1	0.09634963118
386	1	0.09606447767
387	1	0.09578584164
388	1	0.09550001469
389	1	0.09525874656
390	1	0.09503106412
391	1	0.09479616288
392	1	0.09452899686
393	1	0.09431312552
